surface	status	category	identifier	detail	source	line
rest_route	out-of-scope	PUT	_wlm/workload_group/{name}		/home/ubuntu/OpenSearch/plugins/workload-management/src/main/java/org/opensearch/plugin/wlm/rest/RestUpdateWorkloadGroupAction.java	59
rest_route	planned	GET	/_field_caps		/home/ubuntu/OpenSearch/server/src/main/java/org/opensearch/rest/action/RestFieldCapabilitiesAction.java	61
rest_route	planned	POST	/_field_caps		/home/ubuntu/OpenSearch/server/src/main/java/org/opensearch/rest/action/RestFieldCapabilitiesAction.java	62
rest_route	planned	GET	/{index}/_field_caps		/home/ubuntu/OpenSearch/server/src/main/java/org/opensearch/rest/action/RestFieldCapabilitiesAction.java	63
rest_route	planned	POST	/{index}/_field_caps		/home/ubuntu/OpenSearch/server/src/main/java/org/opensearch/rest/action/RestFieldCapabilitiesAction.java	64
rest_route	implemented	GET	/		/home/ubuntu/OpenSearch/server/src/main/java/org/opensearch/rest/action/RestMainAction.java	63
rest_route	implemented	HEAD	/		/home/ubuntu/OpenSearch/server/src/main/java/org/opensearch/rest/action/RestMainAction.java	63
rest_route	planned	POST	/_cluster/voting_config_exclusions		/home/ubuntu/OpenSearch/server/src/main/java/org/opensearch/rest/action/admin/cluster/RestAddVotingConfigExclusionAction.java	75
rest_route	planned	POST	/_tasks/_cancel		/home/ubuntu/OpenSearch/server/src/main/java/org/opensearch/rest/action/admin/cluster/RestCancelTasksAction.java	71
rest_route	planned	POST	/_tasks/{task_id}/_cancel		/home/ubuntu/OpenSearch/server/src/main/java/org/opensearch/rest/action/admin/cluster/RestCancelTasksAction.java	71
rest_route	planned	POST	/_snapshot/{repository}/_cleanup		/home/ubuntu/OpenSearch/server/src/main/java/org/opensearch/rest/action/admin/cluster/RestCleanupRepositoryAction.java	60
rest_route	planned	DELETE	/_cluster/voting_config_exclusions		/home/ubuntu/OpenSearch/server/src/main/java/org/opensearch/rest/action/admin/cluster/RestClearVotingConfigExclusionsAction.java	57
rest_route	planned	PUT	/_snapshot/{repository}/{snapshot}/_clone/{target_snapshot}		/home/ubuntu/OpenSearch/server/src/main/java/org/opensearch/rest/action/admin/cluster/RestCloneSnapshotAction.java	62
rest_route	planned	GET	/_cluster/allocation/explain		/home/ubuntu/OpenSearch/server/src/main/java/org/opensearch/rest/action/admin/cluster/RestClusterAllocationExplainAction.java	65
