status	method	path_or_expression	source	line
planned	DELETE	/_cluster/routing/awareness/{attribute}/weights	/home/ubuntu/OpenSearch/server/src/main/java/org/opensearch/rest/action/admin/cluster/RestClusterDeleteWeightedRoutingAction.java	42
planned	GET	/_cluster/settings	/home/ubuntu/OpenSearch/server/src/main/java/org/opensearch/rest/action/admin/cluster/RestClusterGetSettingsAction.java	82
planned	GET	/_cluster/routing/awareness/{attribute}/weights	/home/ubuntu/OpenSearch/server/src/main/java/org/opensearch/rest/action/admin/cluster/RestClusterGetWeightedRoutingAction.java	38
stubbed	GET	/_cluster/health	/home/ubuntu/OpenSearch/server/src/main/java/org/opensearch/rest/action/admin/cluster/RestClusterHealthAction.java	69
planned	GET	/_cluster/health/{index}	/home/ubuntu/OpenSearch/server/src/main/java/org/opensearch/rest/action/admin/cluster/RestClusterHealthAction.java	69
planned	PUT	/_cluster/routing/awareness/{attribute}/weights	/home/ubuntu/OpenSearch/server/src/main/java/org/opensearch/rest/action/admin/cluster/RestClusterPutWeightedRoutingAction.java	38
planned	POST	/_cluster/reroute	/home/ubuntu/OpenSearch/server/src/main/java/org/opensearch/rest/action/admin/cluster/RestClusterRerouteAction.java	95
planned	GET	/_search_shards	/home/ubuntu/OpenSearch/server/src/main/java/org/opensearch/rest/action/admin/cluster/RestClusterSearchShardsAction.java	64
planned	POST	/_search_shards	/home/ubuntu/OpenSearch/server/src/main/java/org/opensearch/rest/action/admin/cluster/RestClusterSearchShardsAction.java	65
planned	GET	/{index}/_search_shards	/home/ubuntu/OpenSearch/server/src/main/java/org/opensearch/rest/action/admin/cluster/RestClusterSearchShardsAction.java	66
planned	POST	/{index}/_search_shards	/home/ubuntu/OpenSearch/server/src/main/java/org/opensearch/rest/action/admin/cluster/RestClusterSearchShardsAction.java	67
planned	GET	/_cluster/state	/home/ubuntu/OpenSearch/server/src/main/java/org/opensearch/rest/action/admin/cluster/RestClusterStateAction.java	95
planned	GET	/_cluster/state/{metric}	/home/ubuntu/OpenSearch/server/src/main/java/org/opensearch/rest/action/admin/cluster/RestClusterStateAction.java	96
planned	GET	/_cluster/state/{metric}/{indices}	/home/ubuntu/OpenSearch/server/src/main/java/org/opensearch/rest/action/admin/cluster/RestClusterStateAction.java	97
planned	GET	/_cluster/stats	/home/ubuntu/OpenSearch/server/src/main/java/org/opensearch/rest/action/admin/cluster/RestClusterStatsAction.java	70
planned	GET	/_cluster/stats/nodes/{nodeId}	/home/ubuntu/OpenSearch/server/src/main/java/org/opensearch/rest/action/admin/cluster/RestClusterStatsAction.java	71
planned	GET	/_cluster/stats/{metric}/nodes/{nodeId}	/home/ubuntu/OpenSearch/server/src/main/java/org/opensearch/rest/action/admin/cluster/RestClusterStatsAction.java	72
planned	GET	/_cluster/stats/{metric}/{index_metric}/nodes/{nodeId}	/home/ubuntu/OpenSearch/server/src/main/java/org/opensearch/rest/action/admin/cluster/RestClusterStatsAction.java	73
planned	PUT	/_cluster/settings	/home/ubuntu/OpenSearch/server/src/main/java/org/opensearch/rest/action/admin/cluster/RestClusterUpdateSettingsAction.java	67
planned	POST	/_snapshot/{repository}/{snapshot}	/home/ubuntu/OpenSearch/server/src/main/java/org/opensearch/rest/action/admin/cluster/RestCreateSnapshotAction.java	63
planned	PUT	/_snapshot/{repository}/{snapshot}	/home/ubuntu/OpenSearch/server/src/main/java/org/opensearch/rest/action/admin/cluster/RestCreateSnapshotAction.java	63
planned	PUT	/_cluster/decommission/awareness/{awareness_attribute_name}/{awareness_attribute_value}	/home/ubuntu/OpenSearch/server/src/main/java/org/opensearch/rest/action/admin/cluster/RestDecommissionAction.java	35
planned	DELETE	/_cluster/decommission/awareness	/home/ubuntu/OpenSearch/server/src/main/java/org/opensearch/rest/action/admin/cluster/RestDeleteDecommissionStateAction.java	33
planned	DELETE	/_snapshot/{repository}	/home/ubuntu/OpenSearch/server/src/main/java/org/opensearch/rest/action/admin/cluster/RestDeleteRepositoryAction.java	60
planned	DELETE	/_snapshot/{repository}/{snapshot}	/home/ubuntu/OpenSearch/server/src/main/java/org/opensearch/rest/action/admin/cluster/RestDeleteSnapshotAction.java	61
